path,resolved_path,scope,bytes,sha256,mtime_utc
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/nmf_concat.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/nmf_concat.sh,repository,914,7771d395fcf0ee0afdb21dcc4a8ef51a9ae2b142f5280145119b05d2f6044e57,2026-08-28T00:19:10.274412+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/nmf_rank_bootstrap.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/nmf_rank_bootstrap.sh,repository,1120,5cfddb0cce6cea656b2064ec7d476f71d43434a07481d8fa89af08b0b1cdb3db,2026-08-28T00:19:10.263718+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/run_insula_rt_ridge.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/run_insula_rt_ridge.sh,repository,3250,a280b0150ac2942b6f5b0b18eac4388b0f89be5106983d564aa94b7a29625654,2026-08-24T13:26:42.810822+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_mean_repeat_vs_passive_nodelay.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_mean_repeat_vs_passive_nodelay.sh,repository,1576,d268db6101af4004b24bd0586703d6c27ec2ec74c3bd3fd7716891802ad3ddd3,2026-09-09T16:14:56.708965+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_mean_repeat_vs_passive_picture_naming.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_mean_repeat_vs_passive_picture_naming.sh,repository,1583,1cb6c44c80ccae605d7ef1bcad75ed4a5b7d5c6932097e25b6a15874d5121d64,2026-09-09T16:14:56.782087+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_p75_decision_vs_repeat_delay.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_p75_decision_vs_repeat_delay.sh,repository,1624,9be4f86e1f585a264c200958a6cc2f20674b9cbc96e1174159fd1b16e505c96e,2026-09-09T16:57:36.200221+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_p75_repeat_vs_passive_picture_naming.sh,/hpc/group/coganlab/nanlinshi/insula-functional/scripts/slurm/univariate_p75_repeat_vs_passive_picture_naming.sh,repository,1635,5c13995b36b2382a0af59034cb7e89ee69ad243cfd04602227ab43c7bcaefb57,2026-09-09T16:57:36.378046+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/src/decoding/decoder.py,/hpc/group/coganlab/nanlinshi/insula-functional/src/decoding/decoder.py,repository,36720,fe4fbeb32f5a7ba412e39fe31e71a00789b22d1f39bd42d82bdac72e79c80b1c,2026-09-10T17:53:17.302570+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/src/decoding/pooled_io.py,/hpc/group/coganlab/nanlinshi/insula-functional/src/decoding/pooled_io.py,repository,6423,1a7caf82163033e0db510e2924ed4e7a445518f1c351a45ccc6218e6f31e4e76,2026-09-10T17:55:16.470949+00:00
/hpc/group/coganlab/nanlinshi/insula-functional/src/decoding/prepare_functional_decoding_dataset.py,/hpc/group/coganlab/nanlinshi/insula-functional/src/decoding/prepare_functional_decoding_dataset.py,repository,42635,5ddacee03405ab7b22ac54a059de5a44b42222463480391e232e85693a4efb02,2026-08-24T13:26:42.809548+00:00
