path,task,subject,phase,sfreq,n_perm,n_folds_requested,inner_folds_requested,random_state,rt_min_s,window_requested_s,step_requested_s,outer_cv,permutation,n_channels,n_windows,n_trials,n_items,n_outer_folds_actual,recording_counts,window_first_start,window_first_end,window_last_end,actual_step_s,incorrect_target_events
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0086/sub-D0086_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0086,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,8,99,142,82,10,"{""default"": 142}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0086/sub-D0086_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0086,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,8,99,142,82,10,"{""default"": 142}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0090/sub-D0090_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0090,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,10,99,139,82,10,"{""default"": 139}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0090/sub-D0090_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0090,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,10,99,139,82,10,"{""default"": 139}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0090/sub-D0090_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0090,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,10,99,139,82,10,"{""default"": 139}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0092/sub-D0092_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0092,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,12,99,116,77,10,"{""default"": 116}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0092/sub-D0092_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0092,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,12,99,116,77,10,"{""default"": 116}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0092/sub-D0092_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0092,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,12,99,116,77,10,"{""default"": 116}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0094/sub-D0094_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0094,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,5,99,143,80,10,"{""default"": 143}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0094/sub-D0094_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0094,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,5,99,143,80,10,"{""default"": 143}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0094/sub-D0094_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0094,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,5,99,143,80,10,"{""default"": 143}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0096/sub-D0096_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0096,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,15,99,142,75,10,"{""default"": 142}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0096/sub-D0096_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0096,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,15,99,142,75,10,"{""default"": 142}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0096/sub-D0096_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0096,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,15,99,142,75,10,"{""default"": 142}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0101/sub-D0101_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0101,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,10,99,81,63,10,"{""default"": 81}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0101/sub-D0101_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0101,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,10,99,81,63,10,"{""default"": 81}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0101/sub-D0101_task-LexicalDelay_proc-Response_desc-Repeat_rt-ridge.h5,LexicalDelay,D0101,Response,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,10,99,81,63,10,"{""default"": 81}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0102/sub-D0102_task-LexicalDelay_proc-Delay_desc-Repeat_rt-ridge.h5,LexicalDelay,D0102,Delay,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,6,99,153,83,10,"{""default"": 153}",-1.0,-0.8046875,1.4921875,0.0234375,0
/hpc/group/coganlab/nanlinshi/insula-functional/results/rt/task-LexicalDelay/sub-D0102/sub-D0102_task-LexicalDelay_proc-Go_desc-Repeat_rt-ridge.h5,LexicalDelay,D0102,Go,128.0,1000,10,5,42,0.05,0.2,0.02,shuffled_group_kfold_by_item,unrestricted_training_rt_shuffle,6,99,153,83,10,"{""default"": 153}",-1.0,-0.8046875,1.4921875,0.0234375,0
