path,symbol,kind,line,end_line
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,normalize_nmf_factors,FunctionDef,103,116
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,_early_late_masks,FunctionDef,119,130
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,_transient_scores,FunctionDef,133,135
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,orient_two_components,FunctionDef,138,154
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,orient_three_components,FunctionDef,157,173
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,orient_components,FunctionDef,176,203
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,_interp_components_to_times,FunctionDef,206,215
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,component_correlation_matrix,FunctionDef,218,240
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,align_components_to_reference,FunctionDef,243,265
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,names_aligned_to_reference,FunctionDef,268,279
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,discover_paths,FunctionDef,282,295
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,_filename_has_phase,FunctionDef,298,306
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,load_hga_rows,FunctionDef,309,342
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,restrict_windows,FunctionDef,345,359
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,channel_metadata,FunctionDef,362,373
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,phase_matrix,FunctionDef,376,397
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,stimulus_matrix,FunctionDef,400,403
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,concatenated_phase_matrix,FunctionDef,406,455
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,split_concat_components,FunctionDef,458,469
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,orient_components_on_phase_segment,FunctionDef,472,484
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,prepare_shape_matrix,FunctionDef,487,493
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,fit_one_nmf,FunctionDef,496,520
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,fit_nmf_grid,FunctionDef,523,578
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,within_subject_permutation_p,FunctionDef,581,609
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,summarize_held_out,FunctionDef,612,648
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,held_out_contrasts,FunctionDef,651,800
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,plot_waveforms,FunctionDef,803,852
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,plot_spatial,FunctionDef,855,882
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,write_component_table,FunctionDef,885,899
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,run,FunctionDef,902,1038
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_analysis.py,agreement,FunctionDef,595,597
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_pca.py,load_exclude_channels,FunctionDef,34,45
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_pca.py,align_matrix_to_assignments,FunctionDef,48,73
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_pca.py,fit_waveform_pca,FunctionDef,76,93
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_pca.py,plot_waveform_pca,FunctionDef,96,168
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_pca.py,write_pca_outputs,FunctionDef,171,195
/hpc/group/coganlab/nanlinshi/insula-functional/src/nmf/waveform_pca.py,run,FunctionDef,198,297
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,img_dir,FunctionDef,14,18
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,save_svg,FunctionDef,21,28
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,hga_results_dir,FunctionDef,31,43
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,decoding_results_dir,FunctionDef,46,48
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,decoding_task_dir,FunctionDef,51,53
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,resolve_decoding_task_root,FunctionDef,56,80
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,parcellation_qc_dir,FunctionDef,83,88
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,nmf_results_dir,FunctionDef,91,93
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,nmf_assignments_path,FunctionDef,96,103
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,nmf_exclude_channels_path,FunctionDef,106,108
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,nmf_chosen_k,FunctionDef,111,126
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,nmf_run_dir,FunctionDef,129,131
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,nmf_nnls_dir,FunctionDef,134,136
/hpc/group/coganlab/nanlinshi/insula-functional/src/paths.py,nmf_wholebrain_dir,FunctionDef,139,141
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,WindowScores,ClassDef,27,34
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,ClusterResult,ClassDef,38,43
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,parse_item_id,FunctionDef,46,58
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,make_group_splits,FunctionDef,61,88
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,make_permutation_seeds,FunctionDef,91,105
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,make_shuffled_targets,FunctionDef,108,116
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,_pearson_columns,FunctionDef,119,132
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,_inner_cv,FunctionDef,135,141
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,_fit_one_channel,FunctionDef,144,203
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,fit_window_scores,FunctionDef,206,255
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,iter_true_runs,FunctionDef,258,265
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,_longest_runs_by_column,FunctionDef,268,277
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_ridge.py,joint_cluster_correction,FunctionDef,280,349
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_rt_data.py,NoStrictInsulaError,ClassDef,19,20
/hpc/group/coganlab/nanlinshi/insula-functional/src/reaction_time/insula_rt_data.py,PhaseData,ClassDef,24,35
